Vague	S1. genre	S2. âge	Région	S7b. Taille commune	s15. Diplôme	S6. Situation professionnelle	q5. Certitude/hypothèse impact effet de serre	q9. Causes désordres du climat	q10. Causes anthropiques/naturelles du changement climatique	q11. Solutions changement climatique	q18_i1. Causes GES activités industrielles	q18_i2. Causes GES transports	q18_i3. Causes GES bâtiments	q18_i4. Causes GES agriculture	q18_i5. Causes GES centrales de production d'électricité au gaz, charbon ou fuel	q18_i6. Causes GES traitement des déchets	q18_i7. Causes GES destruction des forêts	q18_i8. Causes GES centrales nucléaires	q18_i9. Causes GES activité volcanique	q18_i10. Causes GES bombes aérosols	s25. Sympathie mouvements écologistes	s11. Désordre climatique subi	q23. Véracité scientifique	q14. Médiatisation changement climatique	q8. Conséquences changement climatique	q16. Optimisme limitation changement climatique	q21_i1. Mesures Baisse vitesse autoroute	q21_i2. Mesures Taxe transport aérien	q21_i3. Mesures Obligation rénovation	q21_i4. Mesures Compteurs communicants	q21_i5. Mesures Prix acheminement produits	q21_i6. Mesures Taxe carbone	q21_i7. Mesures EnR	q21_i8. Mesures Densifier les villes	q21_i9. Mesures Taxe véhicules émetteurs	q21_i10. Mesures Favoriser véhicules peu polluants	q21_i11. Mesures Menu restauration collective	q21_i13. Mesures Supprimer dates de péremption	q21_i14. Mesures Interdire publicité	id_user
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes étudiant, lycéen	...une hypothèse sur laquelle les scientifiques ne sont pas tous d'accord ?	Aujourd'hui, personne ne peut dire avec certitude les vraies raisons des désordres du climat	Le réchauffement de la planète est causé par les activités humaines	Il n'y a rien à faire, le changement climatique est inévitable.	Assez	Peu	Assez	Peu	Assez	Peu	Beaucoup	Pas du tout	Assez	Peu	...peu de sympathie ?	Oui, parfois	Les scientifiques qui étudient les évolutions du climat exagèrent les risques du changement climatique	On parle trop du changement climatique	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Non, probablement pas	Pas du tout souhaitable	Assez souhaitable	Pas vraiment souhaitable	Très souhaitable	Assez souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Assez souhaitable	Pas du tout souhaitable	a12b12
TP_DUT2025	Un homme	18-24 ans	Pays de la Loire	En zone rurale	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	...peu de sympathie ?	Non, jamais	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Oui, probablement	Pas du tout souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Assez souhaitable	Pas vraiment souhaitable	Très souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Assez souhaitable	Nic
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Assez	Assez	Peu	Assez	Beaucoup	Assez	Assez	Pas du tout	Peu	Peu	...pas de sympathie du tout ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat exagèrent les risques du changement climatique	On parle trop du changement climatique	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Oui, certainement	Pas du tout souhaitable	Pas du tout souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Très souhaitable	Pas vraiment souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Assez souhaitable	Pas vraiment souhaitable	labubu01
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Assez	Assez	Peu	Assez	Beaucoup	Assez	Assez	Pas du tout	Peu	Peu	...pas de sympathie du tout ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat exagèrent les risques du changement climatique	On parle trop du changement climatique	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Oui, certainement	Pas du tout souhaitable	Pas du tout souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Très souhaitable	Pas vraiment souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Pas du tout souhaitable	Assez souhaitable	Pas vraiment souhaitable	labubu0
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Assez	Beaucoup	Assez	Assez	Beaucoup	Assez	Beaucoup	Pas du tout	Assez	Beaucoup	...assez de sympathie ?	Oui, parfois	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Pas vraiment souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Assez souhaitable	Très souhaitable	yolo79
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 2000 à moins de 20.000 habitants	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont des phénomènes naturels comme il y en a toujours eu	Il s'agit uniquement d'un phénomène naturel qui a toujours existé	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Beaucoup	Peu	Assez	Assez	Beaucoup	Assez	Assez	Peu	Assez	Assez	...peu de sympathie ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Oui, probablement	Pas du tout souhaitable	Pas vraiment souhaitable	Très souhaitable	Très souhaitable	Assez souhaitable	Pas du tout souhaitable	Très souhaitable	Pas vraiment souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Pas du tout souhaitable	ttg_75
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	En zone rurale	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont des phénomènes naturels comme il y en a toujours eu	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Assez	Assez	Assez	Peu	Beaucoup	Assez	Beaucoup	Peu	Peu	Assez	...pas de sympathie du tout ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Oui, probablement	Pas vraiment souhaitable	Pas du tout souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Assez souhaitable	Pas vraiment souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Très souhaitable	Très souhaitable	Pas vraiment souhaitable	L12345
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Assez	Beaucoup	Peu	Beaucoup	Assez	Beaucoup	Beaucoup	Peu	Pas du tout	...assez de sympathie ?	Oui, souvent	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Oui, probablement	Pas du tout souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Très souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Assez souhaitable	Pas vraiment souhaitable	Gazouze
TP_DUT2025	Un homme	18-24 ans	Bretagne	En zone rurale	2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Peu	Assez	Assez	...assez de sympathie ?	Non, jamais	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Pas vraiment souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Très souhaitable	Pas vraiment souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Très souhaitable	Assez souhaitable	ABCDEF
TP_DUT2025	Une femme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 2000 à moins de 20.000 habitants	2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Peu	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Peu	Assez	...assez de sympathie ?	Oui, parfois	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Pas vraiment souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Très souhaitable	Pas vraiment souhaitable	Assez souhaitable	Très souhaitable	Pas vraiment souhaitable	Très souhaitable	Assez souhaitable	clem13
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	En zone rurale	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Assez	Peu	Peu	Assez	Pas du tout	Peu	Peu	...assez de sympathie ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Non, probablement pas	Assez souhaitable	Pas vraiment souhaitable	Assez souhaitable	Très souhaitable	Pas vraiment souhaitable	Assez souhaitable	Très souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Très souhaitable	Pas du tout souhaitable	Assez souhaitable	Assez souhaitable	Lezoved
TP_DUT2025	Une femme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Assez	...peu de sympathie ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Oui, probablement	Assez souhaitable	Assez souhaitable	Très souhaitable	Très souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Très souhaitable	Assez souhaitable	Pas vraiment souhaitable	Très souhaitable	Pas du tout souhaitable	Assez souhaitable	Très souhaitable	osselait
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	Beaucoup	...peu de sympathie ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Pas du tout souhaitable	Assez souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Très souhaitable	NOOPY69
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	En zone rurale	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Assez	Assez	Beaucoup	Beaucoup	Assez	Beaucoup	Peu	Assez	Pas du tout	...beaucoup de sympathie ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, certainement pas	Pas vraiment souhaitable	Très souhaitable	Très souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Très souhaitable	Assez souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Assez souhaitable	Très souhaitable	Très souhaitable	Assez souhaitable	michou
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 2000 à moins de 20.000 habitants	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes étudiant, lycéen	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	C'est aux Etats de rechercher un accord au niveau mondial pour limiter le changement climatique	Beaucoup	Beaucoup	Assez	Assez	Beaucoup	Assez	Beaucoup	Peu	Peu	Beaucoup	...peu de sympathie ?	Oui, parfois	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Pas vraiment souhaitable	Pas vraiment souhaitable	Assez souhaitable	Pas vraiment souhaitable	Assez souhaitable	Pas vraiment souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	banana
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	En zone rurale	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Assez	Beaucoup	Assez	Peu	Assez	Assez	Beaucoup	Assez	Assez	Assez	...beaucoup de sympathie ?	Oui, parfois	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Pas vraiment souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Très souhaitable	Pas vraiment souhaitable	Assez souhaitable	Assez souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Assez souhaitable	babarbar
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 2000 à moins de 20.000 habitants	2EME, 3EME CYCLE UNIVERSITAIRE OU GRANDES ECOLES	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Le progrès technique permettra de trouver des solutions pour limiter le changement climatique	Beaucoup	Assez	Assez	Beaucoup	Beaucoup	Beaucoup	Assez	Beaucoup	Peu	Peu	...peu de sympathie ?	Oui, parfois	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Il y aura des modifications de climat mais on s'y adaptera sans trop de mal	Oui, probablement	Pas du tout souhaitable	Assez souhaitable	Très souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Assez souhaitable	Pas vraiment souhaitable	Pas vraiment souhaitable	Pas du tout souhaitable	Pas vraiment souhaitable	Assez souhaitable	Très souhaitable	LevTes
TP_DUT2025	Un homme	18-24 ans	Aquitaine - Limousin - Poitou - Charente	Dans une ville de 20.000 à moins de 100.000 habitants	DEUG, DUT, BTS, DIPLOME DES PROFESSIONS SOCIALES OU DE LA SANTE	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Assez	Beaucoup	Beaucoup	Beaucoup	Assez	Beaucoup	Beaucoup	Beaucoup	Beaucoup	...peu de sympathie ?	Non, jamais	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On en parle suffisamment	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, probablement pas	Assez souhaitable	Pas vraiment souhaitable	Assez souhaitable	Très souhaitable	Assez souhaitable	Pas vraiment souhaitable	Assez souhaitable	Pas vraiment souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Pas du tout souhaitable	Assez souhaitable	Stalinus
TP_DUT2025	Une femme	18-24 ans	Ile de France	Dans une ville de 2000 à moins de 20.000 habitants	BACCALAUREAT GENERAL, TECHNOLOGIQUE OU PROFESSIONNEL	...êtes apprenti	...ou bien une certitude pour la plupart des scientifiques ?	Les désordres du climat et de leurs conséquences (tels que les canicules, les tempêtes, les sécheresses et les inondations plus fréquentes et plus sévères, la fonte des glaciers, l’élévation du niveau des mers, etc.) sont causés par le changement climatique	Le réchauffement de la planète est causé par les activités humaines	Il faudra modifier de façon importante nos modes de vie pour limiter le changement climatique	Beaucoup	Beaucoup	Beaucoup	Assez	Beaucoup	Assez	Beaucoup	Peu	Assez	Beaucoup	...beaucoup de sympathie ?	Non, rarement	Les scientifiques qui étudient les évolutions du climat évaluent correctement les risques du changement climatique	On n'en parle pas assez	Les conditions de vie deviendront extrêmement pénibles à cause des dérèglements climatiques	Non, certainement pas	Pas du tout souhaitable	Assez souhaitable	Assez souhaitable	Assez souhaitable	Très souhaitable	Pas vraiment souhaitable	Très souhaitable	Pas du tout souhaitable	Assez souhaitable	Très souhaitable	Assez souhaitable	Très souhaitable	Très souhaitable	Leslie
